Universidad de Origen:;Título:;Nº referencia de la solicitud:;Tipo:;Apellidos y Nombre/ Persona Jurídica:;Nombre/ Persona Jurídica-C2:;Nombre y apellidos-C2:;Solicitada:;Fecha solicitud:;Denegada:;Concedida:;Nº BOPI /Asiento registral/Registro VV:;¿Abandonada?;Códigos CIP:;Breve Descripción/Resumen:;Palabras Clave:;Clasificación: (Códigos UNESCO);País/es de prioridad:;Área Nacional;Área Europea;Área PCT;Otros (especificar);Posible aplicación industrial;Especificar el nº de referencia;Observaciones;Estudio previo (si/no);Plan de comecialización (si/no);Plan de negocio (si/no);S/N;Posible aplicación industrial:;Observaciones:
Valladolid;Ontoolsearch;VA-146-2011;Registro de Propiedad intelectual;Guillermo Vega Gorgojo.;UNIVERSIDAD DE VALLADOLID;"Jose Luis Velasco, 983423265
--
promotores@funge.uva.es 
Fundación General de la Universidad de Valladolid.
Plaza de Santa Cruz, nº 6
47002 Valladolid";SI;;NO;NO;;;;"Con este sistema pueden realizarse dos tipos de actividades: la búsqueda de herramientas y el análisis de los resultados. Inicialmente, los profesores pueden formular preguntas de tipos de herramientas tales como pizarras (whiteboards) o editores de cuestionarios (questionnaire editors); también es posible preguntar por tareas que pueden apoyarse con una herramienta como por ejemplo edición de documentos (document edition) o comunicación basada en mensajes de texto (communication based on text messages). Las herramientas obtenidas se presentan por pantalla, permitiendo a los profesores analizar cuáles son más apropiadas para sus necesidades.";;;;;;;;;;;SI;NO;NO;;SI;
Valladolid; - ;VA-87-2021;Registro de Propiedad intelectual;Óscar García Espinilla, Pablo Arlanzón López, Mª Isabel López Gálvez, Juan Carlos Pastor Jimeno.;UNIVERSIDAD DE VALLADOLID;"Jose Luis Velasco, 983423265
--
promotores@funge.uva.es 
Fundación General de la Universidad de Valladolid.
Plaza de Santa Cruz, nº 6
47002 Valladolid";SI;;NO;NO;;NO;;;;;;;;;;;;;;;;;;
Valladolid; - ;VA-88-2021;Registro de Propiedad intelectual;Óscar García Espinilla, Pablo Arlanzón López, Mª Isabel López Gálvez, Juan Carlos Pastor Jimeno.;UNIVERSIDAD DE VALLADOLID;"Jose Luis Velasco, 983423265
--
promotores@funge.uva.es 
Fundación General de la Universidad de Valladolid.
Plaza de Santa Cruz, nº 6
47002 Valladolid";SI;;NO;NO;;NO;;;;;;;;;;;;;;;;;;
Valladolid; - ;VA-89-2021;Registro de Propiedad intelectual;Óscar García Espinilla, Pablo Arlanzón López, Mª Isabel López Gálvez, Juan Carlos Pastor Jimeno.;UNIVERSIDAD DE VALLADOLID;"Jose Luis Velasco, 983423265
--
promotores@funge.uva.es 
Fundación General de la Universidad de Valladolid.
Plaza de Santa Cruz, nº 6
47002 Valladolid";SI;;NO;NO;;NO;;;;;;;;;;;;;;;;;;
Valladolid;Grupos de cepas hipovirulentas denominados E-2 y E-3 del hongo Criphoneptria parasítica para el control biológico del Chancro del Cataño.;P9702274;Patente;Manuel Berrocal del Brio.;UNIVERSIDAD DE VALLADOLID;"Jose Luis Velasco, 983423265
--
promotores@funge.uva.es 
Fundación General de la Universidad de Valladolid.
Plaza de Santa Cruz, nº 6
47002 Valladolid";SI;00/01/1900;NO;SI;0;SI;;;;;España;SI;NO;NO;;;;;NO;NO;NO;;SI;
Valladolid;Genes de las proteínas inactivadoras de ribosomas de bulbos y hojas de Muscari armeniacum denominadas musarminas, procedimiento para su obtencióny aplicaciones de utilidad en la terapia del cáncer y del sida y en la producción de plantas fitopatogénicos y en virus vegetales; - ;Patente;Tomás Girbés Juan.;UNIVERSIDAD DE VALLADOLID;"Jose Luis Velasco, 983423265
--
promotores@funge.uva.es 
Fundación General de la Universidad de Valladolid.
Plaza de Santa Cruz, nº 6
47002 Valladolid";SI;00/01/1900;NO;SI;0;NO;;;;;España;SI;NO;NO;;;;;NO;NO;NO;;SI;
Valladolid;CaptuRING: An Open Source Software for Sequential Digitization;765- 645039;Registro de Propiedad Intelectual;Miguel Garcia Hidalgo, Ángel García Pedrero, Daniel Colón Sánchez, Gabriel Sangüesa Barreda, Vicente Fernando Rozas Ortiz, Jose Miguel Olano Mendoza, Víctor Alonso Gómez.;UNIVERSIDAD DE VALLADOLID;"Jose Luis Velasco, 983423265
--
promotores@funge.uva.es 
Fundación General de la Universidad de Valladolid.
Plaza de Santa Cruz, nº 6
47002 Valladolid";SI;16/04/2475;No;No;;No;;;digitalizacion secuencial;;;;;;;;;;SI;No;No;;España;
Valladolid;SISTEMA DE TRATAMIENTO DE AGUAS;P202231124;Patente;Ruiz Palomar César, Gonzalo Ibrahim Félix.;UNIVERSIDAD DE VALLADOLID;"Jose Luis Velasco, 983423265
--
promotores@funge.uva.es 
Fundación General de la Universidad de Valladolid.
Plaza de Santa Cruz, nº 6
47002 Valladolid";SI;30/12/2022;NO;NO;;NO;;SISTEMA DE TRATAMIENTO DE AGUAS;tratamiento aguas;;España;SI;NO;NO;;;;;SI;NO;NO;;SI;
Valladolid;SISTEMA INALÁMBRICO PARA LA INSPECCIÓN DE MÓDULOS FOTOVOLTAICOS EN PLANTA MEDIANTE ELECTROLUMINISCENCIA;P202231117;Patente;Padilla Marcos Miguel Ángel, Conde Pérez Mariano.;UNIVERSIDAD DE VALLADOLID;"Jose Luis Velasco, 983423265
--
promotores@funge.uva.es 
Fundación General de la Universidad de Valladolid.
Plaza de Santa Cruz, nº 6
47002 Valladolid";SI;29/12/2022;NO;NO;;NO;;SISTEMA INALÁMBRICO PARA LA INSPECCIÓN DE MÓDULOS FOTOVOLTAICOS EN PLANTA MEDIANTE ELECTROLUMINISCENCIA;inspeccion, módulos dotovoltaicos, electroluministcencia;;España;SI;NO;NO;;;;;SI;NO;NO;;SI;
Valladolid;SISTEMA DE PROTECCIÓN CONTRA EL CONTAGIO DE VIRUS EN PUESTOS DE TRABAJO DE OFICINA;U202232141;Modelo de utilidad;Diaz Vega Rafael, VALBUENA GARCÍA Francisco José, GRIJALBA BENGOECHEA Alberto, VILLAGRÁ HERRERO Rafael, López Antuñano Marta, RAMOS MANZANO Francisco Julian.;UNIVERSIDAD DE VALLADOLID, WOSHIE;"Jose Luis Velasco, 983423265
--
promotores@funge.uva.es 
Fundación General de la Universidad de Valladolid.
Plaza de Santa Cruz, nº 6
47002 Valladolid";SI;21/12/2022;NO;NO;;NO;;SISTEMA DE PROTECCIÓN CONTRA EL CONTAGIO DE VIRUS EN PUESTOS DE TRABAJO DE OFICINA;contagio, virus, puestos trabajo, seguridad laboral;;España;SI;NO;NO;;;;;SI;NO;NO;;SI;
